serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount15,sales_ratio16,property_type,residential_type
200886,2020,2021-05-03T00:00:00,Danbury,86 MERRIMAC ST B,189800,240000,0.7908,Residential,Condo
200938,2020,2021-05-13T00:00:00,Danbury,15-17 BOUGHTON ST #1-5,118900,230000,0.5169,Residential,Condo
201018,2020,2021-06-03T00:00:00,Danbury,55 FOREST AV,136900,150000,0.9126,Residential,Single Family
201186,2020,2021-07-12T00:00:00,Danbury,28 MAIN ST,695500,3200000,0.21734375,Commercial,
201443,2020,2021-09-01T00:00:00,Danbury,4 COOPER RD,158700,325000,0.4883,Residential,Single Family
201580,2020,2021-09-27T00:00:00,Danbury,25 CROWN ST,192300,525000,0.366285714,Residential,Two Family
200408,2020,2020-12-24T00:00:00,Danbury,15 SCUPPO RD 1503,130800,260000,0.503,Residential,Condo
20129,2020,2021-03-30T00:00:00,Derby,196 ELIZABETH ST,351260,873000,0.4023,Commercial,
20013,2020,2020-12-16T00:00:00,Eastford,GENERAL LYON RD,2200,20000,0.11,Vacant Land,
200215,2020,2021-06-04T00:00:00,East Haddam,SHANAGHAN RD,51690,65000,0.7952,Vacant Land,
200242,2020,2021-01-27T00:00:00,East Haven,130 COE AVE #51,28240,73000,0.386849315,Residential,Condo
10095,2001,2001-11-16T00:00:00,Farmington,5 SPARROW LN,67670,302866,0.223432145,,
200375,2020,2021-04-06T00:00:00,East Haven,55 THOMPSON ST #5A,76960,140000,0.5497,Residential,Condo
11238,2001,2002-08-30T00:00:00,Bethel,50 FOURTH ST,76450,50000,1.529,,
10035,2001,2002-06-28T00:00:00,Chaplin,FEDERAL RD,19000,35000,0.542857143,,
10115,2001,2002-02-01T00:00:00,Clinton,42 PRATT RD,121900,230000,0.53,,
200194,2020,2021-02-05T00:00:00,East Lyme,5 ROCCO DR,170660,220000,0.7757,Vacant Land,
200236,2020,2021-03-18T00:00:00,East Lyme,8 N EDGEWOOD RD,238140,421000,0.5656,Residential,Single Family
200320,2020,2021-05-10T00:00:00,East Lyme,9 FREEDOM WAY,776230,1525000,0.509,Commercial,
200499,2020,2021-09-10T00:00:00,East Lyme,27 SEA CREST AVE,233660,517000,0.4519,Residential,Single Family
200510,2020,2021-09-15T00:00:00,East Lyme,3 CARLISE LN,212100,390500,0.5431,Residential,Condo
200109,2020,2021-03-30T00:00:00,Easton,50 RIVERSIDE LANE,165400,300000,0.5513,Vacant Land,
200305,2020,2021-01-26T00:00:00,Enfield,15 SALERNO DR,233660,410000,0.5699,Residential,Single Family
10041,2001,2002-07-17T00:00:00,Eastford,WESTFORD RD,180,5000,0.036,,
10115,2001,2001-12-11T00:00:00,Bethlehem,KASSON RD,39060,105000,0.372,,
10452,2001,2001-12-14T00:00:00,Danbury,DIVISION ST,140700,300000,0.469,,
200537,2020,2021-05-21T00:00:00,Enfield,104 BREWSTER RD,117380,245000,0.4791,Residential,Single Family
200652,2020,2021-06-29T00:00:00,Enfield,12 KELLY DR,203470,360000,0.5651,Residential,Single Family
200700,2020,2021-07-13T00:00:00,Enfield,8 SHANNON DR,161590,310000,0.5212,Residential,Single Family
200226,2020,2020-12-18T00:00:00,Enfield,106 RAFFIA RD,145570,240000,0.6065,Residential,Single Family
200125,2020,2021-03-31T00:00:00,Essex,35 DEER LA,220500,425000,0.5188,Residential,Single Family
200140,2020,2021-04-28T00:00:00,Essex,14 ESSEX GLEN DR #12,335800,520000,0.6457,Residential,Condo
200055,2020,2020-11-19T00:00:00,Essex,HILLSIDE DR,5600,5000,1.12,Vacant Land,
11665,2001,2002-07-30T00:00:00,Danbury,3 MORGAN AVE,94600,175000,0.540571429,,
20054,2020,2020-10-27T00:00:00,Farmington,8193 ELY RD,167190,225000,0.743,Vacant Land,
200151,2020,2020-12-14T00:00:00,Farmington,15 MALS WAY,356410,550000,0.648,Residential,Single Family
10133,2001,2002-07-30T00:00:00,Durham,22 JOHN'S WAY,60340,82000,0.735853659,,
200539,2020,2021-07-16T00:00:00,Farmington,130 BIRDSEYE RD,1213620,1125000,1.0787,Commercial,
10323,2001,2002-09-23T00:00:00,Coventry,400 EASTVIEW DR,0,325400,0,,
20064,2020,2021-08-31T00:00:00,Franklin,888 ROUTE 32,186770,209000,0.8936,Commercial,
10751,2001,2002-08-01T00:00:00,Glastonbury,UT 128B S 93A,4200,6000,0.7,,
10044,2001,2001-11-30T00:00:00,Derby,5 WOODLAND WALK,175000,280000,0.625,,
200827,2020,2021-09-07T00:00:00,Glastonbury,38 MONTAUK WAY,332000,520000,0.6384,Residential,Condo
10383,2001,2002-01-23T00:00:00,Hamden,297 PARK RD,77490,115000,0.673826087,,
20000123,2020,2021-03-10T00:00:00,Granby,18 MILL POND DR,87290,115000,0.759,Vacant Land,
200579,2020,2021-02-03T00:00:00,Greenwich,2195000,1061900,2195000,0.4837,Vacant Land,
10115,2001,2002-03-11T00:00:00,East Haddam,45 EH COLCHESTER TPKE,71330,122000,0.584672131,,
200645,2020,2021-02-17T00:00:00,Greenwich,123 VALLEY DRIVE,2661200,3000000,0.887,Residential,Single Family
10250,2001,2002-07-18T00:00:00,Coventry,HEMLOCK LN,1260,5000,0.252,,
10045,2001,2002-01-03T00:00:00,Bethany,9 SIMPSON CT,96590,0,0,,
201233,2020,2021-06-22T00:00:00,Greenwich,11 BAYBERRY LANE,4259500,4300000,0.9905,Residential,Single Family
201437,2020,2021-07-20T00:00:00,Greenwich,552 RIVER ROAD,1337630,2300000,0.5815,Residential,Single Family
10029,2001,2002-05-13T00:00:00,Colebrook,BOHUN RD,12900,17000,0.758823529,,
201494,2020,2021-07-28T00:00:00,Greenwich,20 EAST LYON FARM DRIVE,632170,1250000,0.5057,Residential,Condo
10108,2001,2001-11-14T00:00:00,East Haven,130 MANSFIELD GRV RD,87910,149000,0.59,,
200421,2020,2020-12-24T00:00:00,Greenwich,130 NORTH WATER STREET,288190,705000,0.4087,Residential,Single Family
10530,2001,2002-09-12T00:00:00,Avon,1 PUTNAM LN,97300,200000,0.4865,,
10114,2001,2002-02-21T00:00:00,East Windsor,EAST RD,43,2000,0.0215,,
201078,2020,2020-12-21T00:00:00,Griswold,22 CROSS RD,173040,302000,0.5729,Residential,Single Family
12532,2001,2002-08-13T00:00:00,Bolton,45 BEACON CT,0,12350,0,,
200436,2020,2021-05-04T00:00:00,Groton,67 LEAFWOOD LN S250,71960,130000,0.5535,Residential,Condo
200639,2020,2021-07-28T00:00:00,Groton,4 TYLER AVE,259770,650000,0.399646154,Residential,Single Family
10049,2001,2001-11-02T00:00:00,Avon,53 HIGH GATE DR,367800,550000,0.668727273,,
200020,2020,2020-10-06T00:00:00,Groton,98 EAST SHORE AVE,654570,990000,0.661181818,Residential,Single Family
200098,2020,2020-11-06T00:00:00,Groton,70 ATLANTIC AVE,354550,742500,0.4775,Residential,Single Family
200285,2020,2021-04-12T00:00:00,Guilford,30 GRANITE RD,77840,150000,0.5189,Residential,Condo
200080,2020,2020-11-05T00:00:00,Guilford,2 WINTERBERRY RD,239550,480000,0.499,Residential,Single Family
20360,2020,2021-01-22T00:00:00,Hartford,1301 MAIN ST,173670,439900,0.3947,Commercial,
20522,2020,2021-03-11T00:00:00,Hartford,26 BRANFORD ST,35875,165000,0.2174,Residential,Single Family
20565,2020,2021-03-29T00:00:00,Hartford,31 EATON ST,61915,249000,0.2486,Residential,Two Family
20614,2020,2021-04-08T00:00:00,Hartford,55 STERLING ST,52500,220000,0.2386,Residential,Two Family
20750,2020,2021-05-06T00:00:00,Hartford,3371 MAIN ST,126560,180000,0.7031,Commercial,
20899,2020,2021-06-21T00:00:00,Hartford,159 RUSS ST,137270,278500,0.4928,Apartments,
201023,2020,2021-07-26T00:00:00,Hartford,410 MARKET ST,435610,525000,0.8297,Commercial,
201129,2020,2021-08-19T00:00:00,Hartford,20 GIDDINGS ST,114954,360000,0.3193,Residential,Two Family
200065,2020,2021-03-31T00:00:00,Harwinton,WHETSTONE RD,55380,85000,0.6515,Vacant Land,
200125,2020,2021-09-07T00:00:00,Harwinton,167 BIRGE PARK RD,194790,360000,0.541,Residential,Single Family
11193,2001,2002-08-02T00:00:00,Milford,65 CHERRY ST BLDG B,56980,95000,0.599789474,,
200230,2020,2021-04-26T00:00:00,Killingly,152 NORTH ST,143220,150000,0.9548,Apartments,
200043,2020,2020-12-09T00:00:00,Killingworth,46 TITUS COAN ROAD,354040,645000,0.5488,Residential,Single Family
20059,2020,2021-02-18T00:00:00,Lebanon,54 FIRST ST,121510,229900,0.5285,Residential,Single Family
20041,2020,2021-03-09T00:00:00,Lisbon,17 BARBER FARM RD,76880,90000,0.8542,Vacant Land,
200052,2020,2020-11-16T00:00:00,Litchfield,68 BEACH ST,149570,200000,0.7478,Residential,Two Family
200010,2020,2020-11-20T00:00:00,Lyme,0 STERLING HILL RD,101100,250000,0.4044,Vacant Land,
200709,2020,2021-04-16T00:00:00,Manchester,152 GREEN ROAD,138100,282500,0.488849558,Residential,Single Family
10096,2001,2002-02-28T00:00:00,Putnam,123 PARK RD,139000,200000,0.695,,
200991,2020,2021-07-08T00:00:00,Manchester,64 MILFORD ROAD,104300,160000,0.6518,Residential,Single Family
201027,2020,2021-07-19T00:00:00,Manchester,200 SHELDON ROAD,517700,800000,0.6471,Commercial,
11490,2001,2002-07-19T00:00:00,Norwalk,29 PONUS AVE,148540,344000,0.431802326,,
11430,2001,2002-09-26T00:00:00,Milford,ROSELLE ST,31360,70000,0.448,,
10055,2001,2001-12-04T00:00:00,Stafford,15 JENNIFER LN,0,165155,0,,
200210,2020,2021-07-12T00:00:00,Mansfield,156 HILLYNDALE RD,169400,345000,0.491,Residential,Single Family
10090,2001,2002-06-18T00:00:00,Sherman,1 WIMISINK DR,64050,117000,0.547435897,,
200468,2020,2021-02-12T00:00:00,Meriden,28 STANLEY ST,100520,170000,0.5912,Residential,Single Family
200821,2020,2021-05-27T00:00:00,Meriden,7 CARRIAGE CRSNG,67270,82000,0.8203,Residential,Condo
200961,2020,2021-07-01T00:00:00,Meriden,52 ROYAL OAK CIR,130340,305000,0.4273,Residential,Single Family
10502,2001,2002-01-15T00:00:00,Stratford,1101 SUCCESS AVE,0,50000,0,,
10001,2001,2001-10-02T00:00:00,Roxbury,352 SOUTH ST,234240,320000,0.732,,
10205,2001,2002-06-18T00:00:00,Oxford,31 CORTLAND PL,65930,125000,0.52744,,
201245,2020,2021-09-14T00:00:00,Meriden,223 REYNOLDS DR,128170,260000,0.4929,Residential,Single Family
200038,2020,2020-10-09T00:00:00,Meriden,41 SUNNY LANE,209440,307000,0.6822,Residential,Single Family
10049,2001,2001-12-17T00:00:00,Putnam,12-16 BATTEY ST,63000,100000,0.63,,
10041,2001,2001-10-04T00:00:00,Stratford,86 MINOR CROSS,107090,0,0,,
10254,2001,2002-09-13T00:00:00,Old Lyme,11 FERRY RD,538000,1200000,0.448333333,,
11920,2001,2002-09-24T00:00:00,Norwalk,26 KNAPP ST,101920,260000,0.392,,
10885,2001,2002-09-06T00:00:00,Norwich,154 N MAIN ST,140400,200000,0.702,,
11931,2001,2002-09-24T00:00:00,Norwalk,27 BROAD ST,332710,519043,0.641006622,,
200175,2020,2020-10-29T00:00:00,Milford,16 SEABREEZE AVE,180950,325000,0.5567,Residential,Condo
200275,2020,2020-11-16T00:00:00,Milford,0 EDGEWATER PL,119000,300000,0.3966,Vacant Land,
10015,2001,2001-11-09T00:00:00,Sharon,82 UPPER MAIN ST,53700,50000,1.074,,
20014,2020,2020-10-06T00:00:00,Monroe,22 MEADOWVIEW TER,189100,305000,0.62,Residential,Single Family
10269,2001,2002-07-15T00:00:00,Tolland,63 BALD HL RD,89950,149900,0.600066711,,
10920,2001,2002-09-06T00:00:00,Torrington,VIEW ST,14300,22500,0.635555556,,
10482,2001,2002-01-10T00:00:00,Stratford,129 BAYBERRY LN,140390,0,0,,
2000296,2020,2021-02-12T00:00:00,Naugatuck,464 MULBERRY ST,114660,195000,0.588,Residential,Single Family
10166,2001,2002-01-23T00:00:00,Ridgefield,120 PROSPECT ST UT 44,170760,380000,0.449368421,,
2000327,2020,2021-03-03T00:00:00,Naugatuck,31 PILGRIM LN,157810,276500,0.5707,Residential,Single Family
2000473,2020,2021-05-18T00:00:00,Naugatuck,33 FAIRCHILD ST,98900,184500,0.536,Residential,Single Family
10014,2001,2001-10-09T00:00:00,New London,6 CLIFF ST,43890,70000,0.627,,
2000022,2020,2020-10-13T00:00:00,Naugatuck,41 ANDERSON ST,108070,193500,0.5585,Residential,Three Family
20513,2020,2021-03-11T00:00:00,New Britain,32 HIGHLAND TERR,97580,163300,0.5975,Residential,Single Family
20761,2020,2021-05-28T00:00:00,New Britain,150 GOLD ST,212310,450000,0.4718,Apartments,
10466,2001,2002-01-07T00:00:00,Stratford,1086 ESSEX PL,150640,0,0,,
201057,2020,2021-08-12T00:00:00,New Britain,5 ARCH ST,264390,400000,0.6609,Commercial,
201133,2020,2021-09-02T00:00:00,New Britain,103 LEWIS RD,123480,235000,0.5254,Residential,Single Family
11137,2001,2002-07-29T00:00:00,Milford,31 PEARL ST,78960,200000,0.3948,,
20086,2020,2020-10-22T00:00:00,New Britain,23 PARKMORE ST,122220,223000,0.548,Residential,Single Family
10035,2001,2001-11-14T00:00:00,Orange,832 DONNA DR,156800,275000,0.570181818,,
200338,2020,2021-04-23T00:00:00,New Canaan,116 ROCKY BROOK RD,620760,850000,0.7303,Residential,Single Family
200661,2020,2021-08-30T00:00:00,New Canaan,322 MAIN ST,1279460,2400000,0.5331,Residential,Single Family
200155,2020,2021-01-29T00:00:00,New Fairfield,6 BARNBROOK RD,126100,199900,0.6308,Vacant Land,
10024,2001,2001-10-03T00:00:00,New Britain,4 MADISON ST,52470,90000,0.583,,
200264,2020,2021-06-10T00:00:00,New Fairfield,10 BROOK DR,107500,240000,0.4479,Residential,Single Family
200145,2020,2021-08-09T00:00:00,New Hartford,82 NILES ROAD,238980,460000,0.5195,Residential,Single Family
200419,2020,2021-02-04T00:00:00,New Haven,769 DIXWELL AV,74200,190000,0.3905,Residential,Two Family
10164,2001,2002-07-17T00:00:00,Somers,21 LOUBIER DR,201260,380000,0.529631579,,
200953,2020,2021-05-28T00:00:00,New Haven,44 FRONT ST,64470,105000,0.614,Residential,Condo
201207,2020,2021-07-21T00:00:00,New Haven,40 TEMPLE CT # 40,368130,850000,0.433,Residential,Condo
201440,2020,2021-09-15T00:00:00,New Haven,889 CONGRESS AV,80150,214000,0.3745,Residential,Two Family
200176,2020,2020-11-17T00:00:00,New Haven,36 HARDING PL,35840,35000,1.024,Vacant Land,
200192,2020,2020-11-20T00:00:00,New Haven,459 BLATCHLEY AV,71150,170000,0.4185,Residential,Two Family
201176,2020,2021-03-09T00:00:00,New London,400 BANK ST UNIT 201,165550,191000,0.8667,Residential,Condo
20274,2020,2021-01-08T00:00:00,Newtown,16 SILVER BROOK LANE,419590,779000,0.5386,Residential,Single Family
11187,2001,2002-06-04T00:00:00,Norwalk,12 NELSON AVE,167860,270000,0.621703704,,
10144,2001,2002-02-19T00:00:00,Monroe,11 LAUREL DR,183470,357000,0.513921569,,
20742,2020,2021-08-30T00:00:00,Newtown,157 HANOVER ROAD,325640,508000,0.641,Residential,Single Family
20771,2020,2021-09-16T00:00:00,Newtown,3 SHORT HILL ROAD,451770,910000,0.496450549,Residential,Single Family
202281,2020,2021-09-07T00:00:00,North Haven,108 MULHOLLAND WAY,276010,443165,0.6228,Residential,Condo
10124,2001,2001-10-23T00:00:00,Stratford,1093 BARNUM AVE,200980,0,0,,
201007,2020,2021-03-22T00:00:00,Norwalk,29 GREGORY BLVD,261800,450000,0.5817,Residential,Single Family
10336,2001,2001-12-17T00:00:00,Norwalk,16 ROCKMEADOW RD Q,81340,155000,0.524774194,,
202611,2020,2021-07-06T00:00:00,Norwalk,126 WASHINGTON ST UNIT R203,144380,217500,0.6638,Residential,Condo
10020,2001,2001-10-02T00:00:00,West Haven,84 WEST WALK,64050,130000,0.492692308,,
202876,2020,2021-08-18T00:00:00,Norwalk,17 HADIK PKWY,256270,355000,0.7218,Residential,Single Family
11223,2001,2002-07-19T00:00:00,Stratford,70 AUO ST,96730,0,0,,
10052,2001,2002-07-02T00:00:00,Morris,45 TROTTA LN,540,200000,0.0027,,
200289,2020,2020-11-23T00:00:00,Norwalk,188 FLAX HILL RD UNIT B/6,173040,330000,0.5243,Residential,Condo
200364,2020,2021-01-20T00:00:00,Norwich,44 NORWICH AVE #22,1100,1983200,0.0005,Vacant Land,
200427,2020,2021-02-05T00:00:00,Norwich,287-291 MAIN ST,587600,939000,0.6257,Commercial,
200522,2020,2021-03-04T00:00:00,Norwich,49 WHITE PLAINS RD,174400,335000,0.5205,Residential,Single Family
10110,2001,2002-03-27T00:00:00,Thompson,THOMPSON RD,34300,5000,6.86,,
200656,2020,2021-04-30T00:00:00,Norwich,112-116 MAIN ST,262300,352000,0.7451,Commercial,
10405,2001,2002-07-25T00:00:00,Stonington,24 W VINE ST,85440,19000,4.496842105,,
11407,2001,2002-05-07T00:00:00,Stamford,27 NORTHILL ST,79730,210000,0.379666667,,
10558,2001,2002-07-09T00:00:00,Newington,110 DAY ST,74970,265000,0.28290566,,
20249,2020,2021-09-30T00:00:00,Orange,387 TIMBERLANE DR,297700,550000,0.5412,Residential,Single Family
20135,2020,2021-01-21T00:00:00,Plainfield,30-32 GREENE AVE,98580,200000,0.4929,Residential,Two Family
11877,2001,2002-09-13T00:00:00,Norwalk,6 COBBLERS LN,131250,331500,0.395927602,,
20293,2020,2021-06-07T00:00:00,Plainfield,404 PLAINFIELD PIKE RD,193560,360000,0.5376,Residential,Single Family
10320,2001,2002-05-07T00:00:00,Vernon,213 12 REGAN RD,28560,50000,0.5712,,
20492,2020,2021-08-19T00:00:00,Plainfield,22 FERNWOOD ST,142910,310000,0.461,Residential,Single Family
10207,2001,2002-04-18T00:00:00,Monroe,40 AUTUMN DR,168840,350000,0.4824,,
200377,2020,2021-08-16T00:00:00,Plainville,492 EAST ST B-36,41090,89900,0.457,Residential,Condo
10305,2001,2002-06-17T00:00:00,Watertown,CAROLA DR,57690,90000,0.641,,
11198,2001,2002-08-01T00:00:00,West Hartford,42 PINE BRK LN,190210,379900,0.500684391,,
202000106,2020,2021-01-28T00:00:00,Plymouth,325 MAIN ST,596470,833111,0.7159,Commercial,
202000141,2020,2021-03-18T00:00:00,Plymouth,99 EASTVIEW ROAD,34790,10000,3.479,Vacant Land,
11486,2001,2002-07-18T00:00:00,Norwalk,7 FIRESIDE CT,250600,534500,0.468849392,,
200179,2020,2021-06-22T00:00:00,Portland,724 GLASTONBURY TPKE,134750,220000,0.6125,Residential,Single Family
10693,2001,2002-02-22T00:00:00,Stratford,283 B AGAWAM DR,149180,0,0,,
10929,2001,2002-07-11T00:00:00,New Britain,CEDARWOOD DR LT A,25960,40000,0.649,,
2016743,2020,2021-07-19T00:00:00,Redding,241 ETHAN ALLEN HIGHWAY,1769800,1800000,0.9832,Commercial,
20273,2020,2021-01-11T00:00:00,Ridgefield,12 CARPENTER CLOSE,89810,128300,0.7,Residential,Condo
10059,2001,2002-09-04T00:00:00,Warren,13 PARTRIDGE RD,173250,274900,0.630229174,,
10128,2001,2002-04-23T00:00:00,Thompson,COLONIAL RD,2100,2100,1,,
200207,2020,2021-06-10T00:00:00,Rocky Hill,402 THE MEWS,120890,234900,0.5146,Residential,Condo
200010,2020,2020-10-22T00:00:00,Rocky Hill,59 HIGHCREST DRIVE,128870,193000,0.6677,Residential,Condo
200002,2020,2020-10-01T00:00:00,Roxbury,20 CHURCH ST,439290,575000,0.763982609,Residential,Single Family
200568,2020,2020-10-07T00:00:00,Salem,81A SKYLINE DR.,46900,75000,0.6253,Vacant Land,
20200070,2020,2021-04-08T00:00:00,Sharon,101 MILLERTON RD,170200,287000,0.593,Residential,Single Family
20200107,2020,2021-07-26T00:00:00,Sharon,BARBERRY HILLS RD,106300,100000,1.063,Vacant Land,
10087,2001,2002-01-23T00:00:00,Winchester,936 MAIN ST,8000,8000,1,,
200759,2020,2021-07-21T00:00:00,Shelton,104 MAPLE AVE,144410,185000,0.7805,Residential,Single Family
200245,2020,2021-01-06T00:00:00,Shelton,172-176 CORAM AVE,310660,375000,0.8284,Commercial,
200374,2020,2021-03-01T00:00:00,Shelton,1103 RENAISSANCE,227500,525000,0.4333,Residential,Condo
20104,2020,2021-08-24T00:00:00,Sherman,6 BULLYMUCK RD,23600,41382,0.5702,Vacant Land,
200362,2020,2021-05-24T00:00:00,Simsbury,75 HILLTOP DRIVE,99660,180000,0.5536,Residential,Condo
200377,2020,2021-05-28T00:00:00,Simsbury,108 LIBRARY LANE,80010,130000,0.6154,Residential,Condo
200002,2020,2020-10-01T00:00:00,Simsbury,24 BRETTONWOOD DRIVE,186610,252000,0.7405,Residential,Condo
200081,2020,2020-11-09T00:00:00,Simsbury,2C MILL PONDO LANE,270440,372000,0.7269,Residential,Condo
200120,2020,2020-12-03T00:00:00,Simsbury,24 COBTAIL WAY,133940,160000,0.8371,Vacant Land,
10294,2001,2002-04-01T00:00:00,Windsor,11 TANGLEWOOD,64890,105000,0.618,,
20486,2020,2021-06-15T00:00:00,Southbury,808 A HERITAGE VILLAGE,92080,185000,0.4977,Residential,Condo
20588,2020,2021-07-29T00:00:00,Southbury,2005 PURCHASE BROOK RD,235950,510000,0.4626,Residential,Single Family
20171,2020,2020-11-30T00:00:00,Southbury,259 BURR RD,74060,115000,0.644,Vacant Land,
20073,2002,2002-12-30T00:00:00,Coventry,314 HIGHLAND RD,67690,125000,0.54152,,
200007,2020,2020-10-02T00:00:00,South Windsor,23-D AMATO DR,68300,105000,0.6504,Residential,Condo
20294,2002,2003-07-01T00:00:00,Colchester,MULTI ADDRESSES,178600,400000,0.4465,,
20118,2002,2003-05-06T00:00:00,Brooklyn,HERRICK RD,4100,2500,1.64,,
2000720,2020,2021-01-05T00:00:00,Stamford,57 HARBOR DRIVE GARAGE G-105B,19110,27500,0.6949,Residential,Condo
2000737,2020,2021-01-06T00:00:00,Stamford,LOT 2 EDEN ROAD,208560,238000,0.8763,Vacant Land,
2000857,2020,2021-01-21T00:00:00,Stamford,0 SUMMER STREET #116-2A,109420,195000,0.5611,Residential,Condo
2001101,2020,2021-03-04T00:00:00,Stamford,385 ERSKINE ROAD,599810,950000,0.6313,Residential,Single Family
2001250,2020,2021-03-25T00:00:00,Stamford,28 VERNON PLACE,403190,810000,0.4977,Residential,Three Family
2001286,2020,2021-03-30T00:00:00,Stamford,1156 STILLWATER ROAD,438860,652000,0.673,Residential,Single Family
2001493,2020,2021-05-03T00:00:00,Stamford,18 BUNGALOW PARK,238890,400000,0.5972,Residential,Single Family
2001570,2020,2021-05-14T00:00:00,Stamford,52 ORCHARD STREET,486230,930000,0.5228,Commercial,
2001590,2020,2021-05-17T00:00:00,Stamford,37 CROSS ROAD,423700,533350,0.7944,Residential,Two Family
2002526,2020,2021-09-03T00:00:00,Stamford,114 POND ROAD,206820,300000,0.6894,Vacant Land,
2002537,2020,2021-09-07T00:00:00,Stamford,56 ETHAN ALLEN LANE,441560,785000,0.5624,Residential,Single Family
2000120,2020,2020-10-16T00:00:00,Stamford,61 SEAVIEW AVENUE # 1,497000,755000,0.6582,Residential,Condo
20964,2002,2003-07-14T00:00:00,Greenwich,48 BENJAMIN ST,513730,700000,0.7339,,
2000212,2020,2020-10-28T00:00:00,Stamford,197 BRIDGE STREET # 3,199330,342500,0.5819,Residential,Condo
20106,2002,2002-12-11T00:00:00,Harwinton,BREEZY HL RD LT 1,0,20000,0,,
